Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,Avg_Temp,Avg_Humidity,Total_Rainfall_Season,Soil_pH,Soil_N,Soil_P,Soil_K
Ginger,1997,Kharif,Meghalaya,7357.0,45260,3818.2,700165.69,2280.67,6.054285714,20.918823529411764,88.92019607843137,0.0,5.274507122951685,297.9260354824322,38.23844269050346,218.2763582768963
Maize,1997,Kharif,Meghalaya,17175.0,24878,3818.2,1634544.75,5324.25,1.444285714,20.918823529411764,88.92019607843137,0.0,5.1648769937915,296.4879456457623,42.896064077536955,209.2092167498349
Potato,1997,Whole Year,Meghalaya,20764.0,200509,3818.2,1976109.88,6436.84,8.641428571,17.158575342465753,77.3053698630137,0.0,5.1295788421097575,308.13840065378946,32.68291153593769,194.41124295715693
Rice,1997,Kharif,Meghalaya,105170.0,150101,3818.2,10009028.9,32602.7,1.378571429,20.918823529411764,88.92019607843137,0.0,5.236294340734905,271.30079633013304,26.375410837434835,193.25254964910832
Turmeric,1997,Whole Year,Meghalaya,1401.0,7126,3818.2,133333.17,434.31,5.425714286,17.158575342465753,77.3053698630137,0.0,5.048075331949836,304.7137099889291,30.459879622393945,183.0523555839765
Ginger,1998,Kharif,Meghalaya,7403.0,45590,6552.7,731416.4,2146.87,6.008571429,21.834640522875816,90.41019607843135,0.0,5.419847315338234,296.61335549270194,35.337641023439616,182.90302176543852
Maize,1998,Kharif,Meghalaya,17219.0,25272,6552.7,1701237.2,4993.51,1.457142857,21.834640522875816,90.41019607843135,0.0,5.118342591321222,301.663838845648,29.245032112888488,204.50837622014805
Potato,1998,Whole Year,Meghalaya,20753.0,201059,6552.7,2050396.4,6018.37,7.738571429,17.841917808219176,79.7338904109589,0.0,5.109904196512179,295.62459375310084,31.991466938853016,222.22733821410725
Rice,1998,Kharif,Meghalaya,105402.0,149742,6552.7,10413717.6,30566.58,1.51,21.834640522875816,90.41019607843135,0.0,5.19797541628931,284.1343360656615,39.11272456051594,185.34987620034772
Turmeric,1998,Whole Year,Meghalaya,1375.0,6997,6552.7,135850.0,398.75,5.624285714,17.841917808219176,79.7338904109589,0.0,5.231329539250713,270.6049481418034,28.359069755507846,202.3623348304295
Ginger,1999,Kharif,Meghalaya,7606.0,44710,6200.3,807224.78,2053.62,5.765714286,21.530130718954247,89.95986928104575,0.0,5.310769986999312,302.57052421784954,34.4217585880588,196.38675565292854
Maize,1999,Kharif,Meghalaya,16637.0,24051,6200.3,1765684.81,4491.99,1.448571429,21.530130718954247,89.95986928104575,0.0,4.978221701444886,289.2023368740794,32.696806145201066,212.68546671462698
Potato,1999,Whole Year,Meghalaya,18339.0,143287,6200.3,1946318.07,4951.53,6.858571429,18.374356164383563,76.12775342465753,0.0,5.2515427434352695,273.55439766955897,36.620419846973974,195.3790126350042
Rice,1999,Kharif,Meghalaya,102482.0,156887,6200.3,10876414.66,27670.14,1.605714286,21.530130718954247,89.95986928104575,0.0,5.098461699954107,309.175144332613,40.154997612479754,211.17536142939437
Rice,1999,Rabi,Meghalaya,3929.0,13846,6200.3,416984.77,1060.83,1.755714286,13.804670329670328,69.69796703296704,0.0,5.074117371516604,295.36181436223177,36.65631715701782,211.7065415254683
Turmeric,1999,Whole Year,Meghalaya,1458.0,8196,6200.3,154737.54,393.66,5.284285714,18.374356164383563,76.12775342465753,0.0,5.128123864323206,297.21511535004277,29.46832512996986,185.64552051103195
Ginger,2000,Kharif,Meghalaya,7811.0,44900,6258.8,766805.87,2030.86,5.897142857,21.461764705882352,89.68581699346406,0.0,5.32187887335913,320.34360042856235,34.63994939209833,212.0423947747043
